Attribute name,Type,Default value,mandatory
SAI_ACL_TABLE_ATTR_FIELD_TAM_INT_TYPE,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_INNER_SRC_MAC,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_INNER_DST_MAC,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_VRF_ID,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_IPMC_NPU_META_DST_HIT,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_TUNNEL_TERMINATED,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_SRC_PREFIX_META,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_DST_PREFIX_META,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_NEXT_HOP_USER_META,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_ENTRY_LIST,sai_object_list_t,empty list,FALSE
SAI_ACL_TABLE_ATTR_AVAILABLE_ACL_ENTRY,sai_uint32_t,0,FALSE
SAI_ACL_TABLE_ATTR_AVAILABLE_ACL_COUNTER,sai_uint32_t,0,FALSE
SAI_ACL_TABLE_ATTR_ACL_TABLE_MATCH_TYPE,sai_acl_table_match_type_t,SAI_ACL_TABLE_MATCH_TYPE_TERNARY,FALSE
SAI_ACL_TABLE_ATTR_SRC_PREFIX_COMPRESSION_TABLE,sai_object_id_t,SAI_NULL_OBJECT_ID,FALSE
SAI_ACL_TABLE_ATTR_DST_PREFIX_COMPRESSION_TABLE,sai_object_id_t,SAI_NULL_OBJECT_ID,FALSE
SAI_ACL_TABLE_ATTR_FIELD_VALID_BITS_SRC_IPV6,sai_acl_field_data_mask_t sai_ip6_t,ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff,FALSE
SAI_ACL_TABLE_ATTR_FIELD_VALID_BITS_DST_IPV6,sai_acl_field_data_mask_t sai_ip6_t,ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff,FALSE
SAI_ACL_ENTRY_ATTR_TABLE_ID,sai_object_id_t,SAI_NULL_OBJECT_ID,TRUE
SAI_ACL_ENTRY_ATTR_PRIORITY,sai_uint32_t,0,FALSE
SAI_ACL_ENTRY_ATTR_ADMIN_STATE,bool,TRUE,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_SRC_IPV6,sai_acl_field_data_t sai_ip6_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_SRC_IPV6_WORD3,sai_acl_field_data_t sai_ip6_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_SRC_IPV6_WORD2,sai_acl_field_data_t sai_ip6_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_SRC_IPV6_WORD1,sai_acl_field_data_t sai_ip6_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_SRC_IPV6_WORD0,sai_acl_field_data_t sai_ip6_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_DST_IPV6,sai_acl_field_data_t sai_ip6_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_DST_IPV6_WORD3,sai_acl_field_data_t sai_ip6_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_DST_IPV6_WORD2,sai_acl_field_data_t sai_ip6_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_DST_IPV6_WORD1,sai_acl_field_data_t sai_ip6_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_DST_IPV6_WORD0,sai_acl_field_data_t sai_ip6_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_INNER_SRC_IPV6,sai_acl_field_data_t sai_ip6_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_INNER_DST_IPV6,sai_acl_field_data_t sai_ip6_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_SRC_MAC,sai_acl_field_data_t sai_mac_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_DST_MAC,sai_acl_field_data_t sai_mac_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_SRC_IP,sai_acl_field_data_t sai_ip4_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_DST_IP,sai_acl_field_data_t sai_ip4_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_INNER_SRC_IP,sai_acl_field_data_t sai_ip4_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_INNER_DST_IP,sai_acl_field_data_t sai_ip4_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_IN_PORTS,sai_acl_field_data_t sai_object_list_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_OUT_PORTS,sai_acl_field_data_t sai_object_list_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_IN_PORT,sai_acl_field_data_t sai_object_id_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_OUT_PORT,sai_acl_field_data_t sai_object_id_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_SRC_PORT,sai_acl_field_data_t sai_object_id_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_OUTER_VLAN_ID,sai_acl_field_data_t sai_uint16_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_OUTER_VLAN_PRI,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_OUTER_VLAN_CFI,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_INNER_VLAN_ID,sai_acl_field_data_t sai_uint16_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_INNER_VLAN_PRI,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_INNER_VLAN_CFI,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_L4_SRC_PORT,sai_acl_field_data_t sai_uint16_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_L4_DST_PORT,sai_acl_field_data_t sai_uint16_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_INNER_L4_SRC_PORT,sai_acl_field_data_t sai_uint16_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_INNER_L4_DST_PORT,sai_acl_field_data_t sai_uint16_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_ETHER_TYPE,sai_acl_field_data_t sai_uint16_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_INNER_ETHER_TYPE,sai_acl_field_data_t sai_uint16_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_IP_PROTOCOL,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_INNER_IP_PROTOCOL,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
